Tiempo_min,Voltaje_V,Corriente_A,mAh_Consumidos


0.54,8.37,0.99,0.00


0.56,7.70,1.20,0.34


0.57,7.73,1.12,0.66


0.59,7.74,1.20,0.99


0.61,7.79,1.12,1.31


0.62,7.74,1.07,1.61


0.64,7.76,1.20,1.95


0.66,7.77,1.15,2.28


0.68,7.77,1.15,2.60


0.69,7.79,1.07,2.90


0.71,7.79,1.12,3.22


0.73,7.80,1.02,3.51


0.74,7.80,1.02,3.79


0.76,7.79,1.15,4.12


0.78,7.77,0.91,4.38


0.79,7.78,1.02,4.66


0.81,7.80,1.12,4.98


0.83,7.76,1.20,5.32


0.84,7.82,1.07,5.62


0.86,7.80,0.96,5.89


0.88,7.81,0.86,6.14


0.90,7.82,1.07,6.44


0.91,7.78,1.10,6.75


0.93,7.80,0.94,7.01


0.95,7.82,1.02,7.30


0.96,7.80,0.99,7.58


0.98,7.81,1.07,7.88


1.00,7.82,1.02,8.17


1.01,7.83,0.91,8.43


1.03,7.81,1.04,8.72


1.05,7.80,0.99,9.00


1.06,7.84,0.86,9.24


1.08,7.81,0.89,9.49


1.10,7.82,1.04,9.79


1.12,7.81,1.04,10.08


1.13,7.84,0.86,10.32


1.15,7.82,0.91,10.58


1.17,7.83,0.99,10.86


1.18,7.80,0.81,11.09


1.20,7.80,0.86,11.33


1.22,7.82,0.99,11.61


1.23,7.84,0.94,11.87


1.25,7.84,0.99,12.15


1.27,7.82,1.04,12.45


1.28,7.81,0.94,12.71


1.30,7.83,0.94,12.98


1.32,7.84,0.94,13.24


1.34,7.83,1.12,13.56


1.35,7.81,0.94,13.82


1.37,7.84,0.81,14.05


1.39,7.82,1.07,14.35


1.40,7.82,1.10,14.66


1.42,7.84,0.96,14.94


1.44,7.81,0.83,15.17


1.45,7.82,0.91,15.43


1.47,7.81,0.89,15.68


1.49,7.82,1.02,15.96


1.50,7.81,1.12,16.28


1.52,7.82,1.02,16.57


1.54,7.82,0.75,16.78


1.56,7.84,0.91,17.04


1.57,7.82,0.96,17.31


1.59,7.82,0.99,17.59


1.61,7.83,0.99,17.87


1.62,7.80,0.94,18.13


1.64,7.84,1.07,18.44


1.66,7.77,0.91,18.69


1.67,7.80,0.96,18.96


1.69,7.80,0.94,19.23


1.71,7.80,0.86,19.47


1.72,7.79,0.96,19.74


1.74,7.79,0.86,19.99


1.76,7.82,0.91,20.24


1.78,7.80,1.02,20.53


1.79,7.76,0.91,20.79


1.81,7.78,0.94,21.05


1.83,7.80,1.07,21.35


1.84,7.80,0.73,21.56


1.86,7.78,0.94,21.82


1.88,7.79,0.83,22.06


1.89,7.80,0.91,22.32


1.91,7.83,0.83,22.55


1.93,7.80,1.10,22.86


1.94,7.81,0.94,23.13


1.96,7.78,0.83,23.36


1.98,7.80,0.89,23.61


2.00,7.82,1.04,23.90


2.01,7.82,0.83,24.14


2.03,7.82,1.04,24.43


2.05,7.82,0.94,24.70


2.06,7.79,0.83,24.93


2.08,7.80,0.94,25.20


2.10,7.80,0.99,25.48


2.11,7.81,0.89,25.73


2.13,7.81,0.81,25.96


2.15,7.83,0.75,26.17


2.16,7.80,1.04,26.46


2.18,7.82,0.86,26.70


2.20,7.82,0.96,26.98


2.22,7.82,0.94,27.24


2.23,7.82,0.96,27.51


2.25,7.82,0.91,27.77


2.27,7.83,0.91,28.03


2.28,7.80,1.02,28.32


2.30,7.82,0.94,28.58


2.32,7.84,0.89,28.83


2.33,7.82,0.73,29.04


2.35,7.81,1.04,29.33


2.37,7.83,0.81,29.56


2.38,7.79,0.73,29.76


2.40,7.81,0.91,30.02


2.42,7.80,0.94,30.28


2.44,7.82,0.78,30.50


2.45,7.79,0.99,30.78


2.47,7.82,0.94,31.05


2.49,7.80,0.89,31.30


2.50,7.81,0.81,31.53


2.52,7.83,0.78,31.75


2.54,7.80,0.81,31.97


2.55,7.81,0.96,32.25


2.57,7.81,0.86,32.49


2.59,7.80,1.02,32.77


2.60,7.82,0.89,33.02


2.62,7.82,0.91,33.28


2.64,7.81,0.94,33.55


2.66,7.81,0.83,33.78


2.67,7.82,0.89,34.03


2.69,7.80,0.75,34.24


2.71,7.80,0.86,34.49


2.72,7.80,0.86,34.73


2.74,7.80,0.86,34.97


2.76,7.82,0.89,35.22


2.77,7.82,0.99,35.50


2.79,7.78,0.94,35.77


2.81,7.79,0.89,36.02


2.82,7.81,0.99,36.29


2.84,7.80,0.99,36.57


2.86,7.84,0.91,36.83


2.88,7.78,0.91,37.09


2.89,7.81,0.83,37.32


2.91,7.82,0.75,37.54


2.93,7.83,0.89,37.79


2.94,7.78,0.94,38.05


2.96,7.81,0.89,38.30


2.98,7.82,0.94,38.57


2.99,7.82,0.91,38.82


3.01,7.84,0.81,39.05


3.03,7.81,0.78,39.27


3.04,7.83,0.89,39.52


3.06,7.81,0.81,39.75


3.08,7.81,0.83,39.98


3.10,7.82,0.91,40.24


3.11,7.81,0.83,40.47


3.13,7.82,0.83,40.71


3.15,7.80,0.99,40.99


3.16,7.80,0.89,41.24


3.18,7.81,0.81,41.47


3.20,7.79,0.83,41.70


3.21,7.81,0.96,41.97


3.23,7.80,0.81,42.20


3.25,7.78,0.83,42.44


3.26,7.80,0.86,42.68


3.28,7.82,0.78,42.90


3.30,7.82,0.81,43.13


3.32,7.82,0.78,43.35


3.33,7.82,0.81,43.57


3.35,7.79,0.99,43.85


3.37,7.80,0.75,44.06


3.38,7.78,0.83,44.30


3.40,7.79,0.96,44.57


3.42,7.86,1.04,44.87


3.43,7.81,0.91,45.12


3.45,7.83,0.91,45.38


3.47,7.80,0.89,45.63


3.48,7.80,0.70,45.83


3.50,7.82,0.94,46.09


3.52,7.80,0.86,46.34


3.54,7.82,0.86,46.58


3.55,7.82,0.96,46.85


3.57,7.83,0.86,47.09


3.59,7.82,0.94,47.36


3.60,7.80,0.94,47.62


3.62,7.79,0.73,47.83


3.64,7.80,0.78,48.05


3.65,7.80,0.86,48.29


3.67,7.81,0.99,48.57


3.69,7.80,0.89,48.82


3.70,7.81,0.89,49.07


3.72,7.82,0.89,49.32


3.74,7.79,0.83,49.55


3.76,7.80,0.94,49.82


3.77,7.80,0.94,50.08


3.79,7.82,0.78,50.30


3.81,7.84,0.91,50.56


3.82,7.82,0.86,50.80


3.84,7.82,0.81,51.03


3.86,7.82,0.78,51.25


3.87,7.85,0.99,51.53


3.89,7.81,0.94,51.79


3.91,7.84,0.78,52.01


3.92,7.82,0.91,52.27


3.94,7.80,0.91,52.53


3.96,7.84,0.89,52.78


3.98,7.82,0.78,53.00


3.99,7.82,1.04,53.29


4.01,7.80,0.73,53.50


4.03,7.80,0.73,53.70


4.04,7.82,0.83,53.94


4.06,7.84,0.91,54.20


4.08,7.78,0.73,54.40


4.09,7.82,0.75,54.61


4.11,7.82,0.65,54.80


4.13,7.80,0.86,55.04


4.14,7.82,0.91,55.30


4.16,7.80,0.96,55.57


4.18,7.82,0.91,55.83


4.20,7.84,0.81,56.05


4.21,7.82,0.81,56.28


4.23,7.82,0.78,56.50


4.25,7.80,0.83,56.74


4.26,7.79,0.89,56.99


4.28,7.83,0.91,57.24


4.30,7.81,0.94,57.51


4.31,7.81,0.94,57.77


4.33,7.81,0.91,58.03


4.35,7.82,0.94,58.29


4.36,7.80,0.89,58.54


4.38,7.81,0.89,58.79


4.40,7.80,0.89,59.04


4.42,7.83,0.83,59.28


4.43,7.82,0.83,59.51


4.45,7.82,0.89,59.76


4.47,7.81,0.81,59.99


4.48,7.81,0.78,60.21


4.50,7.82,0.75,60.42


4.52,7.78,0.89,60.67


4.53,7.81,0.86,60.92


4.55,7.81,0.91,61.17


4.57,7.82,0.73,61.38


4.58,7.80,0.89,61.63


4.60,7.80,0.70,61.83


4.62,7.82,0.83,62.06


4.64,7.83,0.81,62.29


4.65,7.80,0.70,62.49


4.67,7.82,0.75,62.70


4.69,7.81,0.89,62.95


4.70,7.83,0.86,63.19


4.72,7.79,0.83,63.43


4.74,7.81,0.99,63.70


4.75,7.81,0.91,63.96


4.77,7.80,0.73,64.17


4.79,7.78,0.91,64.42


4.80,7.79,0.78,64.64


4.82,7.81,0.81,64.87


4.84,7.79,0.91,65.13


4.86,7.80,0.75,65.34


4.87,7.81,0.91,65.60


4.89,7.80,0.78,65.82


4.91,7.80,0.75,66.03


4.92,7.80,0.99,66.31


4.94,7.82,0.81,66.54


4.96,7.82,0.89,66.79


4.97,7.82,0.89,67.04


4.99,7.80,0.91,67.30


5.01,7.81,0.86,67.54


5.02,7.79,0.81,67.76


5.04,7.82,0.83,68.00


5.06,7.78,0.86,68.24


5.08,7.81,0.62,68.42


5.09,7.80,0.81,68.64


5.11,7.81,0.67,68.84


5.13,7.80,0.70,69.03


5.14,7.80,0.78,69.25


5.16,7.82,0.89,69.50


5.18,7.81,0.75,69.72


5.19,7.80,0.70,69.91


5.21,7.80,0.94,70.18


5.23,7.83,0.91,70.43


5.24,7.82,0.99,70.71


5.26,7.81,0.83,70.95


5.28,7.80,0.75,71.16


5.30,7.78,0.91,71.42


5.31,7.83,0.89,71.67


5.33,7.78,1.02,71.96


5.35,7.80,0.89,72.21


5.36,7.80,0.78,72.43


5.38,7.77,0.70,72.62


5.40,7.81,0.86,72.87


5.41,7.80,0.73,73.07


5.43,7.82,0.91,73.33


5.45,7.80,0.78,73.55


5.46,7.80,0.83,73.78


5.48,7.81,0.81,74.01


5.50,7.80,0.94,74.28


5.52,7.79,0.81,74.50


5.53,7.82,0.75,74.72


5.55,7.81,0.86,74.96


5.57,7.79,0.83,75.19


5.58,7.80,0.86,75.43


5.60,7.80,0.78,75.66


5.62,7.80,0.91,75.91


5.63,7.78,0.81,76.14


5.65,7.80,0.75,76.35


5.67,7.81,0.78,76.57


5.68,7.82,0.91,76.83


5.70,7.82,0.86,77.07


5.72,7.79,0.81,77.30


5.74,7.80,0.70,77.50


5.75,7.82,0.83,77.73


5.77,7.81,0.89,77.98


5.79,7.81,0.75,78.19


5.80,7.80,0.89,78.44


5.82,7.82,0.78,78.66


5.84,7.79,0.73,78.87


5.85,7.80,0.78,79.09


5.87,7.81,0.83,79.32


5.89,7.79,0.86,79.57


5.90,7.80,0.86,79.81


5.92,7.82,0.83,80.04


5.94,7.79,0.81,80.27


5.96,7.78,0.89,80.52


5.97,7.81,0.81,80.75


5.99,7.80,0.78,80.97


6.01,7.79,0.86,81.21


6.02,7.79,0.94,81.48


6.04,7.78,0.83,81.71


6.06,7.78,0.75,81.92


6.07,7.78,0.83,82.16


6.09,7.80,0.83,82.39


6.11,7.78,0.86,82.64


6.12,7.78,0.78,82.86


6.14,7.82,0.94,83.12


6.16,7.79,0.94,83.38


6.18,7.80,0.91,83.64


6.19,7.80,0.75,83.85


6.21,7.78,0.75,84.07


6.23,7.79,0.75,84.28


6.24,7.79,0.78,84.50


6.26,7.79,0.89,84.75


6.28,7.79,0.67,84.94


6.29,7.80,0.73,85.14


6.31,7.80,0.78,85.36


6.33,7.79,0.89,85.61


6.34,7.81,0.96,85.89


6.36,7.82,0.94,86.15


6.38,7.80,0.78,86.37


6.40,7.78,0.62,86.55


6.41,7.81,0.78,86.77


6.43,7.78,0.83,87.00


6.45,7.80,0.86,87.24


6.46,7.80,0.89,87.49


6.48,7.80,0.81,87.72


6.50,7.81,0.75,87.93


6.51,7.80,0.73,88.14


6.53,7.78,0.73,88.34


6.55,7.78,0.75,88.56


6.56,7.78,0.73,88.76


6.58,7.80,0.86,89.00


6.60,7.81,0.65,89.19


6.62,7.80,0.78,89.41


6.63,7.79,0.89,89.66


6.65,7.80,0.89,89.91


6.67,7.81,0.73,90.11


6.68,7.82,0.65,90.29


6.70,7.77,0.67,90.49


6.72,7.82,0.83,90.72


6.73,7.80,0.73,90.93


6.75,7.79,0.89,91.18


6.77,7.78,0.73,91.38


6.78,7.79,0.83,91.62


6.80,7.80,0.78,91.84


6.82,7.80,0.91,92.09


6.84,7.76,0.78,92.31


6.85,7.78,0.70,92.51


6.87,7.81,0.91,92.77


6.89,7.81,0.65,92.95


6.90,7.80,0.83,93.18


6.92,7.82,0.70,93.38


6.94,7.78,0.83,93.62


6.95,7.78,0.75,93.83


6.97,7.78,0.78,94.05


6.99,7.78,0.99,94.33


7.00,7.80,0.81,94.56


7.02,7.79,0.78,94.78


7.04,7.77,0.65,94.96


7.06,7.79,0.91,95.22


7.07,7.78,0.96,95.49


7.09,7.77,0.91,95.75


7.11,7.78,0.78,95.97


7.12,7.79,0.86,96.21


7.14,7.82,0.91,96.47


7.16,7.82,0.75,96.68


7.17,7.78,0.86,96.92


7.19,7.80,0.75,97.13


7.21,7.81,0.91,97.39


7.22,7.79,0.89,97.64


7.24,7.79,0.91,97.90


7.26,7.80,0.89,98.15


7.28,7.79,0.70,98.35


7.29,7.78,0.73,98.55


7.31,7.79,0.78,98.77


7.33,7.76,0.78,98.99


7.34,7.79,0.67,99.18


7.36,7.81,0.86,99.42


7.38,7.76,0.91,99.68


7.39,7.78,1.04,99.97


7.41,7.78,0.91,100.23


7.43,7.79,0.99,100.51


7.44,7.77,0.91,100.77


7.46,7.78,0.83,101.00


7.48,7.78,0.91,101.26


7.50,7.78,0.86,101.50


7.51,7.79,0.75,101.72


7.53,7.80,0.62,101.89


7.55,7.80,0.81,102.12


7.56,7.78,0.75,102.33


7.58,7.79,0.70,102.53


7.60,7.78,0.91,102.79


7.61,7.79,0.91,103.04


7.63,7.79,0.83,103.28


7.65,7.78,0.70,103.48


7.66,7.80,0.75,103.69


7.68,7.76,0.86,103.93


7.70,7.80,0.91,104.19


7.72,7.78,0.96,104.46


7.73,7.78,0.83,104.70


7.75,7.79,0.83,104.93


7.77,7.79,0.81,105.16


7.78,7.77,0.86,105.40


7.80,7.78,0.96,105.67


7.82,7.78,0.94,105.94


7.83,7.78,0.75,106.15


7.85,7.79,0.99,106.43


7.87,7.80,0.78,106.65


7.88,7.80,0.94,106.91


7.90,7.80,0.78,107.13


7.92,7.78,0.83,107.37


7.94,7.80,0.73,107.57


7.95,7.79,0.83,107.81


7.97,7.81,0.89,108.06


7.99,7.77,0.75,108.27


8.00,7.78,0.73,108.48


8.02,7.78,0.91,108.73


8.04,7.78,0.96,109.01


8.05,7.80,0.83,109.24


8.07,7.78,0.89,109.49


8.09,7.77,0.83,109.73


8.10,7.80,0.81,109.95


8.12,7.81,0.89,110.20


8.14,7.78,0.89,110.45


8.16,7.78,0.86,110.70


8.17,7.76,0.75,110.91


8.19,7.80,0.81,111.14


8.21,7.79,0.81,111.36


8.22,7.79,0.81,111.59


8.24,7.76,0.78,111.81


8.26,7.77,0.78,112.03


8.27,7.80,0.78,112.25


8.29,7.76,0.86,112.49


8.31,7.78,0.67,112.68


8.32,7.76,0.91,112.94


8.34,7.80,0.91,113.20


8.36,7.78,0.73,113.40


8.38,7.78,0.67,113.59


8.39,7.78,0.83,113.83


8.41,7.80,0.89,114.08


8.43,7.77,0.73,114.28


8.44,7.76,0.86,114.52


8.46,7.78,0.83,114.76


8.48,7.80,0.78,114.98


8.49,7.78,0.99,115.26


8.51,7.80,0.94,115.52


8.53,7.78,0.73,115.73


8.54,7.76,0.83,115.96


8.56,7.79,0.78,116.18


8.58,7.81,0.65,116.37


8.60,7.76,0.73,116.57


8.61,7.79,0.83,116.81


8.63,7.78,0.83,117.04


8.65,7.78,0.91,117.30


8.66,7.80,0.78,117.52


8.68,7.79,0.96,117.79


8.70,7.80,0.91,118.05


8.71,7.79,0.89,118.30


8.73,7.76,0.94,118.56


8.75,7.75,0.94,118.83


8.76,7.76,0.86,119.07


8.78,7.78,0.83,119.31


8.80,7.78,0.81,119.53


8.82,7.78,0.78,119.75


8.83,7.78,0.70,119.95


8.85,7.80,0.91,120.21


8.87,7.80,0.78,120.43


8.88,7.79,0.91,120.68


8.90,7.76,0.78,120.90


8.92,7.81,0.73,121.11


8.93,7.76,0.75,121.32


8.95,7.78,0.67,121.51


8.97,7.79,0.86,121.75


8.98,7.77,0.91,122.01


9.00,7.78,0.99,122.29


9.02,7.78,0.78,122.51


9.04,7.77,0.99,122.79


9.05,7.79,0.89,123.04


9.07,7.80,0.78,123.26


9.09,7.80,0.78,123.48


9.10,7.80,0.67,123.67


9.12,7.79,0.78,123.89


9.14,7.77,0.73,124.10


9.15,7.79,0.96,124.37


9.17,7.78,0.94,124.63


9.19,7.78,0.94,124.90


9.20,7.77,0.78,125.12


9.22,7.77,0.89,125.37


9.24,7.78,0.81,125.60


9.26,7.78,0.81,125.82


9.27,7.79,0.78,126.04


9.29,7.78,0.91,126.30


9.31,7.78,0.81,126.53


9.32,7.77,0.91,126.79


9.34,7.76,0.89,127.04


9.36,7.75,0.86,127.28


9.37,7.76,1.07,127.58


9.39,7.76,0.65,127.76


9.41,7.77,0.91,128.02


9.42,7.78,0.86,128.26


9.44,7.79,0.73,128.47


9.46,7.78,0.86,128.71


9.48,7.77,0.78,128.93


9.49,7.77,0.83,129.16


9.51,7.76,0.91,129.42


9.53,7.79,0.78,129.64


9.54,7.79,0.86,129.88


9.56,7.77,0.73,130.09


9.58,7.75,0.73,130.29


9.59,7.77,0.91,130.55


9.61,7.77,0.91,130.81


9.63,7.77,0.94,131.07


9.64,7.78,0.62,131.25


9.66,7.75,0.83,131.48


9.68,7.79,0.94,131.75


9.70,7.77,0.83,131.98


9.71,7.78,1.02,132.27


9.73,7.78,0.86,132.51


9.75,7.78,0.86,132.76


9.76,7.76,0.75,132.97


9.78,7.75,0.86,133.21


9.80,7.77,0.78,133.43


9.81,7.76,0.89,133.68


9.83,7.74,0.83,133.92


9.85,7.76,0.86,134.16


9.86,7.77,0.75,134.37


9.88,7.76,0.94,134.63


9.90,7.75,0.91,134.89


9.92,7.75,0.70,135.09


9.93,7.75,0.91,135.35


9.95,7.78,0.81,135.57


9.97,7.76,0.73,135.78


9.98,7.75,0.91,136.04


10.00,7.75,0.65,136.22


10.02,7.76,0.81,136.45


10.03,7.75,0.96,136.72


10.05,7.76,0.81,136.95


10.07,7.79,0.96,137.22


10.08,7.73,0.86,137.46


10.10,7.74,0.75,137.68


10.12,7.79,0.75,137.89


10.14,7.76,0.78,138.11


10.15,7.73,0.83,138.34


10.17,7.74,0.62,138.52


10.19,7.76,0.75,138.73


10.20,7.76,0.91,138.99


10.22,7.78,0.78,139.21


10.24,7.75,0.86,139.45


10.25,7.76,0.91,139.71


10.27,7.75,0.89,139.96


10.29,7.75,0.99,140.24


10.30,7.73,0.86,140.48


10.32,7.77,0.81,140.71


10.34,7.76,0.75,140.92


10.36,7.74,0.70,141.12


10.37,7.78,0.86,141.36


10.39,7.76,0.83,141.59


10.41,7.74,0.83,141.83


10.42,7.77,0.86,142.07


10.44,7.74,0.91,142.33


10.46,7.75,0.57,142.49


10.47,7.76,0.91,142.75


10.49,7.75,0.67,142.94


10.51,7.74,0.73,143.14


10.52,7.75,0.83,143.38


10.54,7.76,0.83,143.61


10.56,7.77,0.75,143.82


10.58,7.76,0.75,144.04


10.59,7.76,0.83,144.27


10.61,7.76,0.75,144.48


10.63,7.75,0.75,144.70


10.64,7.77,0.86,144.94


10.66,7.77,0.73,145.14


10.68,7.77,0.73,145.35


10.69,7.74,0.78,145.57


10.71,7.75,0.81,145.80


10.73,7.74,0.91,146.05


10.74,7.76,0.83,146.29


10.76,7.74,0.83,146.52


10.78,7.75,0.96,146.80


10.80,7.74,0.70,146.99


10.81,7.76,0.86,147.24


10.83,7.75,0.83,147.47


10.85,7.74,0.96,147.74


10.86,7.75,0.75,147.96


10.88,7.74,0.86,148.20


10.90,7.76,0.70,148.40


10.91,7.76,0.96,148.67


10.93,7.74,1.02,148.96


10.95,7.75,0.75,149.17


10.96,7.75,0.96,149.44


10.98,7.75,0.89,149.69


11.00,7.76,0.75,149.90


11.02,7.77,0.65,150.09


11.03,7.79,0.75,150.30


11.05,7.77,0.83,150.53


11.07,7.75,0.86,150.78


11.08,7.79,0.94,151.04


11.10,7.75,0.83,151.28


11.12,7.74,0.75,151.49


11.13,7.74,0.81,151.72


11.15,7.78,0.89,151.97


11.17,7.77,0.78,152.19


11.18,7.74,0.73,152.39


11.20,7.76,0.73,152.60


11.22,7.74,0.73,152.80


11.24,7.75,0.91,153.06


11.25,7.74,0.83,153.29


11.27,7.74,0.91,153.55


11.29,7.76,0.96,153.82


11.30,7.74,0.70,154.02


11.32,7.73,0.78,154.24


11.34,7.76,0.89,154.49


11.35,7.76,0.75,154.70


11.37,7.74,0.81,154.93


11.39,7.76,0.75,155.14


11.40,7.76,0.86,155.38


11.42,7.73,0.83,155.62


11.44,7.74,0.94,155.88


11.46,7.77,0.73,156.09


11.47,7.75,0.73,156.29


11.49,7.75,0.73,156.50


11.51,7.75,0.83,156.73


11.52,7.74,0.94,157.00


11.54,7.76,0.94,157.26


11.56,7.76,0.86,157.51


11.57,7.74,0.70,157.70


11.59,7.73,0.91,157.96


11.61,7.74,0.70,158.16


11.62,7.76,0.86,158.40


11.64,7.75,0.75,158.61


11.66,7.74,0.81,158.84


11.68,7.74,0.78,159.06


11.69,7.75,0.96,159.33


11.71,7.76,0.83,159.57


11.73,7.76,0.75,159.78


11.74,7.74,0.78,160.00


11.76,7.75,0.94,160.27


11.78,7.74,0.89,160.52


11.79,7.75,0.86,160.76


11.81,7.74,0.73,160.96


11.83,7.74,0.96,161.23


11.84,7.76,0.75,161.45


11.86,7.76,0.75,161.66


11.88,7.76,0.86,161.90


11.90,7.75,0.86,162.14


11.91,7.75,0.94,162.41


11.93,7.74,0.78,162.63


11.95,7.74,0.81,162.86


11.96,7.75,0.75,163.07


11.98,7.76,0.91,163.33


12.00,7.76,0.96,163.60


12.01,7.74,0.91,163.86


12.03,7.76,0.81,164.08


12.05,7.73,0.86,164.33


12.06,7.75,0.75,164.54


12.08,7.73,0.75,164.75


12.10,7.75,0.60,164.92


12.12,7.75,0.78,165.14


12.13,7.73,0.94,165.40


12.15,7.75,1.07,165.71


12.17,7.76,0.78,165.93


12.18,7.77,0.91,166.18


12.20,7.75,0.94,166.45


12.22,7.74,0.73,166.65


12.23,7.75,0.96,166.92


12.25,7.77,0.89,167.17


12.27,7.74,0.91,167.43


12.28,7.73,0.81,167.66


12.30,7.73,0.78,167.88


12.32,7.76,0.67,168.07


12.34,7.74,0.99,168.35


12.35,7.77,0.75,168.56


12.37,7.74,0.89,168.81


12.39,7.75,0.94,169.08


12.40,7.73,0.67,169.27


12.42,7.77,0.65,169.45


12.44,7.74,0.81,169.68


12.45,7.76,0.81,169.90


12.47,7.76,0.65,170.09


12.49,7.74,0.65,170.27


12.50,7.76,0.81,170.50


12.52,7.76,0.99,170.78


12.54,7.74,0.65,170.96


12.56,7.77,0.78,171.18


12.57,7.77,0.81,171.41


12.59,7.76,0.83,171.64


12.61,7.76,0.75,171.85


12.62,7.74,0.78,172.07


12.64,7.75,0.81,172.30


12.66,7.76,0.81,172.53


12.67,7.78,0.81,172.76


12.69,7.73,0.81,172.98


12.71,7.74,0.75,173.20


12.72,7.75,0.83,173.43


12.74,7.75,0.78,173.65


12.76,7.74,0.86,173.89


12.78,7.75,0.81,174.12


12.79,7.76,0.86,174.36


12.81,7.76,0.89,174.61


12.83,7.74,0.83,174.85


12.84,7.76,0.75,175.06


12.86,7.76,0.99,175.34


12.88,7.75,0.75,175.55


12.89,7.74,0.86,175.80


12.91,7.75,0.75,176.01


12.93,7.74,0.83,176.24


12.94,7.73,0.75,176.46


12.96,7.75,0.78,176.68


12.98,7.75,0.73,176.88


13.00,7.77,0.78,177.10


13.01,7.75,0.81,177.33


13.03,7.75,0.91,177.59


13.05,7.75,0.70,177.78


13.06,7.73,0.73,177.99


13.08,7.76,0.81,178.22


13.10,7.75,0.75,178.43


13.11,7.74,0.73,178.64


13.13,7.74,0.81,178.86


13.15,7.74,0.81,179.09


13.16,7.74,0.67,179.28


13.18,7.76,0.81,179.51


13.20,7.76,0.78,179.73


13.22,7.74,0.83,179.96


13.23,7.75,0.86,180.21


13.25,7.75,0.89,180.45


13.27,7.78,0.75,180.67


13.28,7.76,0.86,180.91


13.30,7.74,0.65,181.09


13.32,7.75,0.78,181.31


13.33,7.75,0.86,181.55


13.35,7.76,0.70,181.75


13.37,7.75,0.73,181.96


13.38,7.75,0.81,182.19


13.40,7.76,0.78,182.41


13.42,7.74,0.96,182.68


13.44,7.73,0.94,182.94


13.45,7.73,1.04,183.24


13.47,7.72,0.73,183.44


13.49,7.76,0.75,183.65


13.50,7.76,0.81,183.88


13.52,7.75,0.81,184.11


13.54,7.76,0.70,184.31


13.55,7.76,0.83,184.54


13.57,7.76,0.81,184.77


13.59,7.75,0.78,184.99


13.60,7.73,0.78,185.21


13.62,7.76,0.73,185.41


13.64,7.74,0.89,185.66


